x,y,z,intensity,gps_time,label,global_id
746002.17919312,2573796.00082275,464.04922485,12079,5325.8574,9,103010001
746009.17528687,2573793.93173096,467.62722778,16191,5325.858,9,103010001
746002.07320557,2573795.26382324,467.05233765,13878,5325.858,9,103010001
746002.03930054,2573795.44451782,467.2326355,13878,5325.858,9,103010001
746002.07918701,2573795.61382935,467.42092896,13878,5325.858,9,103010001
746002.10061035,2573795.7863147,467.60723877,13878,5325.858,9,103010001
746002.14870605,2573795.95474121,467.79672241,14135,5325.858,9,103010001
746009.48000488,2573793.78262207,463.14923096,16191,5325.946,9,103010001
746002.08330688,2573795.3868396,463.42773438,16191,5325.946,9,103010001
746002.09459839,2573795.52291748,463.66091919,16191,5325.9463,9,103010001
746002.10469971,2573795.65292236,463.88284302,16191,5325.9463,9,103010001
746002.13369141,2573795.78002808,464.10614014,16191,5325.9463,9,103010001
746002.24068604,2573795.89553711,464.33511353,16191,5325.9463,9,103010001
746002.24428711,2573796.02691528,464.55703735,16191,5325.9463,9,103010001
746009.56530151,2573793.92141602,464.78964233,10280,5326.046,9,103010001
746009.18081055,2573794.06393311,465.03231812,10023,5326.046,9,103010001
746002.07210693,2573795.50024292,465.47402954,8995,5326.046,9,103010001
746002.09319458,2573795.56933472,465.72232056,8995,5326.046,9,103010001
746009.25771484,2573794.52603027,466.64852905,10023,5326.046,9,103010001
746002.15578613,2573795.92062256,466.96322632,8995,5326.046,9,103010001
746002.16838989,2573795.98724243,467.19961548,8995,5326.0464,9,103010001
746002.19991455,2573796.05123779,467.43832397,8995,5326.0464,9,103010001
746002.15288696,2573796.12994263,467.68063354,8995,5326.0464,9,103010001
746006.54198608,2573794.35442993,464.04202271,8481,5326.1436,9,103010001
746006.5302063,2573794.38912842,464.30734253,8481,5326.144,9,103010001
746005.07988892,2573794.65792725,464.46972656,8738,5326.144,9,103010001
746005.12938843,2573794.68182251,464.73474121,8738,5326.144,9,103010001
746002.13219604,2573795.25942871,465.26373291,8995,5326.144,9,103010001
746002.07720337,2573795.29693481,465.4977417,8995,5326.144,9,103010001
746002.10021362,2573795.32162354,465.73861694,8995,5326.144,9,103010001
746002.12130127,2573795.34792969,465.99234009,8995,5326.1445,9,103010001
746002.12578735,2573795.37652466,466.24472046,8995,5326.1445,9,103010001
746002.12539062,2573795.40572998,466.49682617,8995,5326.1445,9,103010001
746002.15639648,2573795.4599292,467.01763916,8995,5326.1445,9,103010001
746002.12978516,2573795.4927356,467.26742554,8995,5326.1445,9,103010001
746002.15059814,2573795.51681397,467.50982666,8995,5326.1445,9,103010001
746002.1262146,2573795.54904053,467.76004028,8995,5326.145,9,103010001
746004.14510498,2573795.56274292,466.67431641,15163,5327.0825,9,103010001
746004.13890991,2573795.39462158,466.47961426,15163,5327.0825,9,103010001
746009.23040161,2573794.4276416,466.79602051,16191,5327.0825,9,103010001
746009.27129517,2573794.24023315,466.59213257,16191,5327.0825,9,103010001
746002.06380615,2573795.23473999,465.71273804,14649,5327.0825,9,103010001
746005.04989014,2573794.57693359,465.79373169,15420,5327.083,9,103010001
746009.20159302,2573793.71023438,465.96112061,16191,5327.083,9,103010001
746008.97939453,2573793.04763672,465.1295166,16191,5327.083,9,103010001
746008.93859253,2573792.87551758,464.91781616,16191,5327.083,9,103010001
746002.16820679,2573795.97631714,467.40682983,9509,5327.185,9,103010001
746002.16069946,2573795.84463379,467.18963623,9509,5327.185,9,103010001
746002.1486145,2573795.713927,466.97201538,9509,5327.185,9,103010001
746002.11379395,2573795.5934436,466.76272583,9509,5327.185,9,103010001
746002.0861145,2573795.46523926,466.54351807,9509,5327.185,9,103010001
746002.08910522,2573795.33914063,466.33843994,9509,5327.185,9,103010001
746005.15358887,2573794.70431397,466.42532349,10023,5327.185,9,103010001
746008.97960815,2573792.92443726,464.91763306,10537,5327.185,9,103010001
746002.13079224,2573795.57772705,467.92663574,16191,5327.281,9,103010001
746002.10360107,2573795.49111816,467.68582153,16191,5327.281,9,103010001
746002.07900391,2573795.40911743,467.45721436,16191,5327.281,9,103010001
746002.04039917,2573795.32473633,467.21563721,16191,5327.281,9,103010001
746002.07940063,2573795.22784302,466.9828186,16191,5327.281,9,103010001
746002.03109131,2573795.14514038,466.7406311,16191,5327.281,9,103010001
746005.0039917,2573794.55843994,466.81433105,16191,5327.2812,9,103010001
746009.17559204,2573793.64782593,468.42224121,16191,5327.3823,9,103010001
746009.22631226,2573793.39892456,464.92553711,15934,5327.3833,9,103010001
746009.4309021,2573793.24313232,463.32324219,16191,5327.3833,9,103010001
746002.0934082,2573795.27612183,465.39242554,11051,5328.144,9,103010001
746002.10228882,2573795.49453613,465.5043335,21845,5328.1445,9,103010001
746009.27871094,2573794.52343628,466.27392578,1028,5328.1445,9,103010001
746009.30629883,2573794.76101563,466.39831543,771,5328.1445,9,103010001
746007.22811279,2573794.84792969,463.27484131,15420,5328.2397,9,103010001
746002.19741211,2573795.88793823,463.15203857,13878,5328.2397,9,103010001
746002.09990845,2573795.44473145,465.98834229,10794,5328.24,9,103010001
746002.21260986,2573796.02484009,466.45782471,11051,5328.24,9,103010001
746002.1625,2573795.65353272,464.48043823,8995,5328.342,9,103010001
746002.15789185,2573795.56942627,467.02182007,10023,5329.5586,9,103010001
746002.14360962,2573795.39233276,466.86022949,10023,5329.5586,9,103010001
746002.08968506,2573795.22302124,466.69403076,10023,5329.5586,9,103010001
746002.03890381,2573795.05334351,466.52813721,10023,5329.5586,9,103010001
746002.1723877,2573795.89962647,467.19161987,14392,5329.6597,9,103010001
746002.15529785,2573795.76223633,466.98474121,14135,5329.6597,9,103010001
746002.16680298,2573795.61984131,466.78112793,14135,5329.6597,9,103010001
746002.10689697,2573795.49072144,466.56964111,14135,5329.6597,9,103010001
746002.11480103,2573795.59011719,467.32473755,16191,5329.7793,9,103010001
746002.06899414,2573795.48663208,467.09902954,16191,5329.7793,9,103010001
746002.06920776,2573795.37493774,466.87872314,16191,5329.7793,9,103010001
746002.07131348,2573795.15164063,466.4380188,16191,5329.78,9,103010001
746002.10369263,2573795.04382202,465.54904175,10537,5330.068,9,103010001
746002.05471191,2573795.10711548,465.30432129,10537,5330.068,9,103010001
746002.05489502,2573795.32241699,464.34591675,10537,5330.0684,9,103010001
746002.10918579,2573795.36602661,464.11071777,10537,5330.0684,9,103010001
746002.07518921,2573795.2580249,466.57192993,14649,5330.168,9,103010001
746002.10479126,2573795.3679187,466.35614014,14649,5330.168,9,103010001
746009.25170288,2573794.26653931,466.62442017,15934,5330.168,9,103010001
746002.07540283,2573795.14062378,466.09423828,16191,5330.259,9,103010001
746002.09578857,2573795.27511475,465.90441895,16191,5330.259,9,103010001
746009.23479614,2573794.06631348,466.38574219,16191,5330.259,9,103010001
746005.01900635,2573794.46014282,466.5161438,11822,5330.3604,9,103010001
746002.08309326,2573795.24282715,466.07803345,19789,5330.361,9,103010001
746009.22289429,2573794.09353516,466.65252686,25700,5330.361,9,103010001
746002.05291138,2573795.24001953,467.15762329,25700,5331.06,9,103010001
746002.06099854,2573795.30093262,467.3760376,25700,5331.06,9,103010001
746002.0677124,2573795.36553833,467.60552979,25700,5331.06,9,103010001
746002.09499512,2573795.42623779,467.83792114,9509,5331.06,9,103010001
746009.40371094,2573793.07293579,463.34454346,14649,5331.16,9,103010001
746009.04470215,2573793.28152344,464.89892578,14649,5331.1606,9,103010001
746009.17489014,2573793.6809375,464.73953247,15677,5331.2617,9,103010001
746009.43850098,2573793.24893066,463.84613037,12336,5331.358,9,103010001
746008.94170532,2573792.88033936,465.06433105,12079,5331.358,9,103010001
746002.0263916,2573795.22842285,466.13671875,7196,5331.652,9,103010001
746002.10619507,2573795.35903809,466.94891357,11308,5332.2593,9,103010001
746002.10918579,2573795.23364136,463.92022705,12593,5332.561,9,103010001
746002.25270996,2573795.2835376,465.41934204,16191,5332.662,9,103010001
746002.10158691,2573795.04553101,466.09011841,11822,5332.7627,9,103010001
746002.05770264,2573795.23443481,466.36791992,16191,5333.4497,9,103010001
746002.02379761,2573795.26364014,467.67752075,12593,5333.551,9,103010001
746002.02910767,2573795.36651489,467.89053345,12593,5333.551,9,103010001
746002.10588989,2573795.22534058,467.7694397,11308,5334.0537,9,103010001
746002.09328613,2573795.1738269,466.64874268,9766,5335.2837,9,103010001
746002.04769287,2573795.01614258,467.13583374,10794,5335.469,9,103010001
746009.00631104,2573793.05322144,464.86672974,13364,5336.0503,9,103010001
746009.18120728,2573793.76571533,464.87661743,16191,5336.153,9,103010001
746009.13048706,2573793.38503906,464.70501709,15163,5336.249,9,103010001
746009.0414978,2573793.40612671,464.94232178,15163,5336.249,9,103010001
746009.38158569,2573793.0521228,464.20233154,14392,5336.3496,9,103010001
746008.9493042,2573792.95223877,464.92022705,14135,5336.35,9,103010001
746009.33629761,2573792.95724365,464.17092896,9766,5336.4517,9,103010001
746002.05471191,2573795.12072632,467.54263306,13107,5336.6504,9,103010001
746009.11431274,2573793.60552856,465.04544067,14392,5337.669,9,103010001
746009.20980225,2573793.66842529,464.80703735,14392,5337.669,9,103010001
746002.08449707,2573795.20501587,463.9833374,12593,5337.669,9,103010001
